pokedex_no,name,type1,type2,moves,hp,attack,defense,special-attack,special-defense,speed
632,durant,bug,steel,"[['vice-grip', 'normal'], ['guillotine', 'normal'], ['cut', 'normal'], ['sand-attack', 'ground'], ['bite', 'dark'], ['strength', 'normal'], ['thunder-wave', 'electric'], ['dig', 'ground'], ['toxic', 'poison'], ['agility', 'psychic'], ['screech', 'normal'], ['double-team', 'normal'], ['rest', 'psychic'], ['rock-slide', 'rock'], ['substitute', 'normal'], ['snore', 'normal'], ['flail', 'normal'], ['protect', 'normal'], ['feint-attack', 'dark'], ['sandstorm', 'rock'], ['endure', 'normal'], ['swagger', 'normal'], ['fury-cutter', 'bug'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['baton-pass', 'normal'], ['metal-claw', 'steel'], ['hidden-power', 'normal'], ['crunch', 'dark'], ['rock-smash', 'fighting'], ['beat-up', 'dark'], ['facade', 'normal'], ['helping-hand', 'normal'], ['superpower', 'fighting'], ['endeavor', 'normal'], ['secret-power', 'normal'], ['rock-tomb', 'rock'], ['metal-sound', 'steel'], ['aerial-ace', 'flying'], ['iron-defense', 'steel'], ['metal-burst', 'steel'], ['rock-polish', 'rock'], ['x-scissor', 'bug'], ['energy-ball', 'grass'], ['giga-impact', 'normal'], ['shadow-claw', 'ghost'], ['thunder-fang', 'electric'], ['flash-cannon', 'steel'], ['rock-climb', 'normal'], ['iron-head', 'steel'], ['stone-edge', 'rock'], ['bug-bite', 'bug'], ['hone-claws', 'dark'], ['entrainment', 'normal'], ['round', 'normal'], ['retaliate', 'normal'], ['struggle-bug', 'bug'], ['confide', 'normal'], ['infestation', 'bug'], ['first-impression', 'bug'], ['stomping-tantrum', 'ground'], ['steel-beam', 'steel'], ['skitter-smack', 'bug']]",58,109,112,48,48,109
633,deino,dark,dragon,"[['slam', 'normal'], ['headbutt', 'normal'], ['tackle', 'normal'], ['body-slam', 'normal'], ['take-down', 'normal'], ['bite', 'dark'], ['roar', 'normal'], ['strength', 'normal'], ['dragon-rage', 'dragon'], ['thunder-wave', 'electric'], ['toxic', 'poison'], ['screech', 'normal'], ['double-team', 'normal'], ['focus-energy', 'normal'], ['rest', 'psychic'], ['substitute', 'normal'], ['thief', 'dark'], ['snore', 'normal'], ['spite', 'ghost'], ['protect', 'normal'], ['scary-face', 'normal'], ['outrage', 'dragon'], ['endure', 'normal'], ['swagger', 'normal'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['dragon-breath', 'dragon'], ['hidden-power', 'normal'], ['rain-dance', 'water'], ['sunny-day', 'fire'], ['crunch', 'dark'], ['psych-up', 'normal'], ['rock-smash', 'fighting'], ['uproar', 'normal'], ['torment', 'dark'], ['facade', 'normal'], ['taunt', 'dark'], ['superpower', 'fighting'], ['secret-power', 'normal'], ['hyper-voice', 'normal'], ['astonish', 'ghost'], ['shock-wave', 'electric'], ['assurance', 'dark'], ['dark-pulse', 'dark'], ['aqua-tail', 'water'], ['dragon-pulse', 'dragon'], ['dragon-rush', 'dragon'], ['earth-power', 'ground'], ['nasty-plot', 'dark'], ['thunder-fang', 'electric'], ['ice-fang', 'ice'], ['fire-fang', 'fire'], ['zen-headbutt', 'psychic'], ['draco-meteor', 'dragon'], ['head-smash', 'rock'], ['double-hit', 'normal'], ['round', 'normal'], ['incinerate', 'fire'], ['dragon-tail', 'dragon'], ['work-up', 'normal'], ['snarl', 'dark'], ['belch', 'poison'], ['confide', 'normal'], ['tera-blast', 'normal'], ['dragon-cheer', 'dragon']]",52,65,50,45,50,38
634,zweilous,dark,dragon,"[['slam', 'normal'], ['headbutt', 'normal'], ['tackle', 'normal'], ['body-slam', 'normal'], ['take-down', 'normal'], ['bite', 'dark'], ['roar', 'normal'], ['strength', 'normal'], ['dragon-rage', 'dragon'], ['thunder-wave', 'electric'], ['toxic', 'poison'], ['screech', 'normal'], ['double-team', 'normal'], ['focus-energy', 'normal'], ['rest', 'psychic'], ['substitute', 'normal'], ['thief', 'dark'], ['snore', 'normal'], ['spite', 'ghost'], ['protect', 'normal'], ['scary-face', 'normal'], ['outrage', 'dragon'], ['endure', 'normal'], ['swagger', 'normal'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['dragon-breath', 'dragon'], ['hidden-power', 'normal'], ['rain-dance', 'water'], ['sunny-day', 'fire'], ['crunch', 'dark'], ['psych-up', 'normal'], ['rock-smash', 'fighting'], ['beat-up', 'dark'], ['uproar', 'normal'], ['torment', 'dark'], ['facade', 'normal'], ['taunt', 'dark'], ['helping-hand', 'normal'], ['superpower', 'fighting'], ['secret-power', 'normal'], ['hyper-voice', 'normal'], ['shock-wave', 'electric'], ['assurance', 'dark'], ['dark-pulse', 'dark'], ['aqua-tail', 'water'], ['dragon-pulse', 'dragon'], ['dragon-rush', 'dragon'], ['earth-power', 'ground'], ['nasty-plot', 'dark'], ['thunder-fang', 'electric'], ['ice-fang', 'ice'], ['fire-fang', 'fire'], ['zen-headbutt', 'psychic'], ['draco-meteor', 'dragon'], ['double-hit', 'normal'], ['round', 'normal'], ['incinerate', 'fire'], ['dragon-tail', 'dragon'], ['work-up', 'normal'], ['snarl', 'dark'], ['confide', 'normal'], ['stomping-tantrum', 'ground'], ['lash-out', 'dark'], ['tera-blast', 'normal'], ['dragon-cheer', 'dragon']]",72,85,70,65,70,58
635,hydreigon,dark,dragon,"[['fly', 'flying'], ['slam', 'normal'], ['headbutt', 'normal'], ['tackle', 'normal'], ['body-slam', 'normal'], ['take-down', 'normal'], ['bite', 'dark'], ['roar', 'normal'], ['flamethrower', 'fire'], ['hydro-pump', 'water'], ['surf', 'water'], ['hyper-beam', 'normal'], ['strength', 'normal'], ['dragon-rage', 'dragon'], ['fire-spin', 'fire'], ['thunder-wave', 'electric'], ['earthquake', 'ground'], ['toxic', 'poison'], ['screech', 'normal'], ['double-team', 'normal'], ['reflect', 'psychic'], ['focus-energy', 'normal'], ['fire-blast', 'fire'], ['rest', 'psychic'], ['rock-slide', 'rock'], ['tri-attack', 'normal'], ['substitute', 'normal'], ['thief', 'dark'], ['snore', 'normal'], ['spite', 'ghost'], ['protect', 'normal'], ['scary-face', 'normal'], ['outrage', 'dragon'], ['endure', 'normal'], ['swagger', 'normal'], ['steel-wing', 'steel'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['dragon-breath', 'dragon'], ['iron-tail', 'steel'], ['hidden-power', 'normal'], ['rain-dance', 'water'], ['sunny-day', 'fire'], ['crunch', 'dark'], ['psych-up', 'normal'], ['rock-smash', 'fighting'], ['beat-up', 'dark'], ['uproar', 'normal'], ['heat-wave', 'fire'], ['torment', 'dark'], ['facade', 'normal'], ['taunt', 'dark'], ['helping-hand', 'normal'], ['superpower', 'fighting'], ['secret-power', 'normal'], ['hyper-voice', 'normal'], ['rock-tomb', 'rock'], ['signal-beam', 'bug'], ['dragon-dance', 'dragon'], ['shock-wave', 'electric'], ['roost', 'flying'], ['tailwind', 'flying'], ['u-turn', 'bug'], ['payback', 'dark'], ['assurance', 'dark'], ['dark-pulse', 'dark'], ['aqua-tail', 'water'], ['dragon-pulse', 'dragon'], ['dragon-rush', 'dragon'], ['focus-blast', 'fighting'], ['earth-power', 'ground'], ['giga-impact', 'normal'], ['nasty-plot', 'dark'], ['thunder-fang', 'electric'], ['ice-fang', 'ice'], ['fire-fang', 'fire'], ['zen-headbutt', 'psychic'], ['flash-cannon', 'steel'], ['defog', 'flying'], ['draco-meteor', 'dragon'], ['stone-edge', 'rock'], ['stealth-rock', 'rock'], ['charge-beam', 'electric'], ['double-hit', 'normal'], ['round', 'normal'], ['echoed-voice', 'normal'], ['incinerate', 'fire'], ['acrobatics', 'flying'], ['bulldoze', 'ground'], ['dragon-tail', 'dragon'], ['work-up', 'normal'], ['snarl', 'dark'], ['confide', 'normal'], ['throat-chop', 'dark'], ['brutal-swing', 'dark'], ['stomping-tantrum', 'ground'], ['breaking-swipe', 'dragon'], ['scale-shot', 'dragon'], ['lash-out', 'dark'], ['dual-wingbeat', 'flying'], ['tera-blast', 'normal'], ['dragon-cheer', 'dragon']]",92,105,90,125,90,98
636,larvesta,bug,fire,"[['body-slam', 'normal'], ['take-down', 'normal'], ['thrash', 'normal'], ['double-edge', 'normal'], ['ember', 'fire'], ['flamethrower', 'fire'], ['absorb', 'grass'], ['solar-beam', 'grass'], ['string-shot', 'bug'], ['fire-spin', 'fire'], ['toxic', 'poison'], ['psychic', 'psychic'], ['screech', 'normal'], ['double-team', 'normal'], ['harden', 'normal'], ['light-screen', 'psychic'], ['fire-blast', 'fire'], ['amnesia', 'psychic'], ['leech-life', 'bug'], ['rest', 'psychic'], ['substitute', 'normal'], ['flame-wheel', 'fire'], ['snore', 'normal'], ['protect', 'normal'], ['foresight', 'normal'], ['giga-drain', 'grass'], ['endure', 'normal'], ['swagger', 'normal'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['safeguard', 'normal'], ['morning-sun', 'normal'], ['hidden-power', 'normal'], ['sunny-day', 'fire'], ['heat-wave', 'fire'], ['will-o-wisp', 'fire'], ['facade', 'normal'], ['secret-power', 'normal'], ['overheat', 'fire'], ['signal-beam', 'bug'], ['calm-mind', 'psychic'], ['u-turn', 'bug'], ['magnet-rise', 'electric'], ['flare-blitz', 'fire'], ['bug-buzz', 'bug'], ['zen-headbutt', 'psychic'], ['bug-bite', 'bug'], ['flame-charge', 'fire'], ['round', 'normal'], ['incinerate', 'fire'], ['acrobatics', 'flying'], ['struggle-bug', 'bug'], ['wild-charge', 'electric'], ['confide', 'normal'], ['lunge', 'bug'], ['skitter-smack', 'bug'], ['tera-blast', 'normal'], ['pounce', 'bug'], ['trailblaze', 'grass']]",55,85,55,50,55,60
637,volcarona,bug,fire,"[['gust', 'flying'], ['whirlwind', 'normal'], ['fly', 'flying'], ['body-slam', 'normal'], ['take-down', 'normal'], ['thrash', 'normal'], ['double-edge', 'normal'], ['ember', 'fire'], ['flamethrower', 'fire'], ['hyper-beam', 'normal'], ['absorb', 'grass'], ['solar-beam', 'grass'], ['string-shot', 'bug'], ['fire-spin', 'fire'], ['toxic', 'poison'], ['psychic', 'psychic'], ['screech', 'normal'], ['double-team', 'normal'], ['light-screen', 'psychic'], ['fire-blast', 'fire'], ['amnesia', 'psychic'], ['leech-life', 'bug'], ['rest', 'psychic'], ['substitute', 'normal'], ['flame-wheel', 'fire'], ['snore', 'normal'], ['protect', 'normal'], ['giga-drain', 'grass'], ['endure', 'normal'], ['swagger', 'normal'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['safeguard', 'normal'], ['hidden-power', 'normal'], ['rain-dance', 'water'], ['sunny-day', 'fire'], ['heat-wave', 'fire'], ['will-o-wisp', 'fire'], ['facade', 'normal'], ['secret-power', 'normal'], ['air-cutter', 'flying'], ['overheat', 'fire'], ['silver-wind', 'bug'], ['signal-beam', 'bug'], ['aerial-ace', 'flying'], ['calm-mind', 'psychic'], ['roost', 'flying'], ['tailwind', 'flying'], ['u-turn', 'bug'], ['magnet-rise', 'electric'], ['flare-blitz', 'fire'], ['poison-jab', 'poison'], ['air-slash', 'flying'], ['bug-buzz', 'bug'], ['giga-impact', 'normal'], ['zen-headbutt', 'psychic'], ['defog', 'flying'], ['bug-bite', 'bug'], ['rage-powder', 'bug'], ['quiver-dance', 'bug'], ['flame-charge', 'fire'], ['round', 'normal'], ['incinerate', 'fire'], ['acrobatics', 'flying'], ['struggle-bug', 'bug'], ['wild-charge', 'electric'], ['hurricane', 'flying'], ['fiery-dance', 'fire'], ['confide', 'normal'], ['mystical-fire', 'fire'], ['lunge', 'bug'], ['skitter-smack', 'bug'], ['dual-wingbeat', 'flying'], ['tera-blast', 'normal'], ['pounce', 'bug'], ['trailblaze', 'grass']]",85,60,65,135,105,100
638,cobalion,steel,fighting,"[['swords-dance', 'normal'], ['cut', 'normal'], ['double-kick', 'fighting'], ['body-slam', 'normal'], ['take-down', 'normal'], ['double-edge', 'normal'], ['leer', 'normal'], ['roar', 'normal'], ['hyper-beam', 'normal'], ['strength', 'normal'], ['thunder-wave', 'electric'], ['toxic', 'poison'], ['quick-attack', 'normal'], ['double-team', 'normal'], ['reflect', 'psychic'], ['swift', 'normal'], ['rest', 'psychic'], ['substitute', 'normal'], ['snore', 'normal'], ['reversal', 'fighting'], ['protect', 'normal'], ['scary-face', 'normal'], ['sandstorm', 'rock'], ['endure', 'normal'], ['false-swipe', 'normal'], ['swagger', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['safeguard', 'normal'], ['megahorn', 'bug'], ['metal-claw', 'steel'], ['hidden-power', 'normal'], ['rain-dance', 'water'], ['sunny-day', 'fire'], ['psych-up', 'normal'], ['rock-smash', 'fighting'], ['facade', 'normal'], ['taunt', 'dark'], ['helping-hand', 'normal'], ['superpower', 'fighting'], ['revenge', 'fighting'], ['brick-break', 'fighting'], ['secret-power', 'normal'], ['metal-sound', 'steel'], ['aerial-ace', 'flying'], ['iron-defense', 'steel'], ['block', 'normal'], ['bounce', 'flying'], ['calm-mind', 'psychic'], ['metal-burst', 'steel'], ['close-combat', 'fighting'], ['magnet-rise', 'electric'], ['aura-sphere', 'fighting'], ['rock-polish', 'rock'], ['poison-jab', 'poison'], ['air-slash', 'flying'], ['x-scissor', 'bug'], ['vacuum-wave', 'fighting'], ['focus-blast', 'fighting'], ['giga-impact', 'normal'], ['zen-headbutt', 'psychic'], ['flash-cannon', 'steel'], ['iron-head', 'steel'], ['stone-edge', 'rock'], ['stealth-rock', 'rock'], ['hone-claws', 'dark'], ['heavy-slam', 'steel'], ['round', 'normal'], ['quick-guard', 'fighting'], ['retaliate', 'normal'], ['volt-switch', 'electric'], ['work-up', 'normal'], ['sacred-sword', 'fighting'], ['confide', 'normal'], ['laser-focus', 'normal'], ['smart-strike', 'steel'], ['body-press', 'fighting'], ['steel-beam', 'steel'], ['coaching', 'fighting'], ['tera-blast', 'normal'], ['upper-hand', 'fighting']]",91,90,129,90,72,108
639,terrakion,rock,fighting,"[['swords-dance', 'normal'], ['cut', 'normal'], ['double-kick', 'fighting'], ['body-slam', 'normal'], ['take-down', 'normal'], ['double-edge', 'normal'], ['leer', 'normal'], ['roar', 'normal'], ['hyper-beam', 'normal'], ['strength', 'normal'], ['earthquake', 'ground'], ['toxic', 'poison'], ['quick-attack', 'normal'], ['double-team', 'normal'], ['reflect', 'psychic'], ['swift', 'normal'], ['rest', 'psychic'], ['rock-slide', 'rock'], ['substitute', 'normal'], ['snore', 'normal'], ['reversal', 'fighting'], ['protect', 'normal'], ['scary-face', 'normal'], ['sandstorm', 'rock'], ['endure', 'normal'], ['false-swipe', 'normal'], ['swagger', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['safeguard', 'normal'], ['megahorn', 'bug'], ['hidden-power', 'normal'], ['psych-up', 'normal'], ['rock-smash', 'fighting'], ['facade', 'normal'], ['taunt', 'dark'], ['helping-hand', 'normal'], ['superpower', 'fighting'], ['revenge', 'fighting'], ['brick-break', 'fighting'], ['secret-power', 'normal'], ['rock-tomb', 'rock'], ['aerial-ace', 'flying'], ['block', 'normal'], ['calm-mind', 'psychic'], ['rock-blast', 'rock'], ['close-combat', 'fighting'], ['aura-sphere', 'fighting'], ['rock-polish', 'rock'], ['poison-jab', 'poison'], ['air-slash', 'flying'], ['x-scissor', 'bug'], ['focus-blast', 'fighting'], ['earth-power', 'ground'], ['giga-impact', 'normal'], ['zen-headbutt', 'psychic'], ['iron-head', 'steel'], ['stone-edge', 'rock'], ['stealth-rock', 'rock'], ['smack-down', 'rock'], ['round', 'normal'], ['quick-guard', 'fighting'], ['retaliate', 'normal'], ['bulldoze', 'ground'], ['work-up', 'normal'], ['sacred-sword', 'fighting'], ['confide', 'normal'], ['high-horsepower', 'ground'], ['laser-focus', 'normal'], ['smart-strike', 'steel'], ['stomping-tantrum', 'ground'], ['coaching', 'fighting'], ['tera-blast', 'normal'], ['upper-hand', 'fighting']]",91,129,90,72,90,108
640,virizion,grass,fighting,"[['swords-dance', 'normal'], ['cut', 'normal'], ['double-kick', 'fighting'], ['body-slam', 'normal'], ['take-down', 'normal'], ['double-edge', 'normal'], ['leer', 'normal'], ['roar', 'normal'], ['hyper-beam', 'normal'], ['strength', 'normal'], ['solar-beam', 'grass'], ['toxic', 'poison'], ['quick-attack', 'normal'], ['double-team', 'normal'], ['light-screen', 'psychic'], ['reflect', 'psychic'], ['swift', 'normal'], ['flash', 'normal'], ['rest', 'psychic'], ['substitute', 'normal'], ['snore', 'normal'], ['reversal', 'fighting'], ['protect', 'normal'], ['scary-face', 'normal'], ['giga-drain', 'grass'], ['endure', 'normal'], ['false-swipe', 'normal'], ['swagger', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['safeguard', 'normal'], ['megahorn', 'bug'], ['synthesis', 'grass'], ['hidden-power', 'normal'], ['sunny-day', 'fire'], ['psych-up', 'normal'], ['rock-smash', 'fighting'], ['facade', 'normal'], ['nature-power', 'normal'], ['taunt', 'dark'], ['helping-hand', 'normal'], ['superpower', 'fighting'], ['revenge', 'fighting'], ['brick-break', 'fighting'], ['secret-power', 'normal'], ['bullet-seed', 'grass'], ['aerial-ace', 'flying'], ['block', 'normal'], ['bounce', 'flying'], ['magical-leaf', 'grass'], ['calm-mind', 'psychic'], ['leaf-blade', 'grass'], ['close-combat', 'fighting'], ['worry-seed', 'grass'], ['aura-sphere', 'fighting'], ['seed-bomb', 'grass'], ['air-slash', 'flying'], ['x-scissor', 'bug'], ['vacuum-wave', 'fighting'], ['focus-blast', 'fighting'], ['energy-ball', 'grass'], ['giga-impact', 'normal'], ['zen-headbutt', 'psychic'], ['leaf-storm', 'grass'], ['stone-edge', 'rock'], ['grass-knot', 'grass'], ['round', 'normal'], ['quick-guard', 'fighting'], ['retaliate', 'normal'], ['work-up', 'normal'], ['sacred-sword', 'fighting'], ['confide', 'normal'], ['solar-blade', 'grass'], ['laser-focus', 'normal'], ['smart-strike', 'steel'], ['grassy-glide', 'grass'], ['coaching', 'fighting'], ['tera-blast', 'normal'], ['trailblaze', 'grass'], ['upper-hand', 'fighting']]",91,90,72,90,129,108
641,tornadus-incarnate,flying,,"[['gust', 'flying'], ['fly', 'flying'], ['tackle', 'normal'], ['body-slam', 'normal'], ['take-down', 'normal'], ['thrash', 'normal'], ['leer', 'normal'], ['bite', 'dark'], ['hyper-beam', 'normal'], ['strength', 'normal'], ['toxic', 'poison'], ['psychic', 'psychic'], ['agility', 'psychic'], ['double-team', 'normal'], ['metronome', 'normal'], ['rest', 'psychic'], ['substitute', 'normal'], ['thief', 'dark'], ['snore', 'normal'], ['reversal', 'fighting'], ['protect', 'normal'], ['scary-face', 'normal'], ['sludge-bomb', 'poison'], ['icy-wind', 'ice'], ['sandstorm', 'rock'], ['endure', 'normal'], ['swagger', 'normal'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['iron-tail', 'steel'], ['hidden-power', 'normal'], ['twister', 'dragon'], ['rain-dance', 'water'], ['sunny-day', 'fire'], ['crunch', 'dark'], ['rock-smash', 'fighting'], ['uproar', 'normal'], ['heat-wave', 'fire'], ['torment', 'dark'], ['facade', 'normal'], ['taunt', 'dark'], ['role-play', 'psychic'], ['superpower', 'fighting'], ['revenge', 'fighting'], ['brick-break', 'fighting'], ['knock-off', 'dark'], ['secret-power', 'normal'], ['astonish', 'ghost'], ['weather-ball', 'normal'], ['air-cutter', 'flying'], ['extrasensory', 'psychic'], ['aerial-ace', 'flying'], ['bulk-up', 'fighting'], ['hammer-arm', 'fighting'], ['tailwind', 'flying'], ['u-turn', 'bug'], ['payback', 'dark'], ['assurance', 'dark'], ['embargo', 'dark'], ['fling', 'dark'], ['dark-pulse', 'dark'], ['air-slash', 'flying'], ['focus-blast', 'fighting'], ['giga-impact', 'normal'], ['nasty-plot', 'dark'], ['defog', 'flying'], ['grass-knot', 'grass'], ['smack-down', 'rock'], ['sludge-wave', 'poison'], ['foul-play', 'dark'], ['round', 'normal'], ['sky-drop', 'flying'], ['incinerate', 'fire'], ['acrobatics', 'flying'], ['hurricane', 'flying'], ['confide', 'normal'], ['brutal-swing', 'dark'], ['lash-out', 'dark'], ['bleakwind-storm', 'flying'], ['tera-blast', 'normal'], ['snowscape', 'ice'], ['chilling-water', 'water']]",79,115,70,125,80,111
642,thundurus-incarnate,electric,flying,"[['thunder-punch', 'electric'], ['fly', 'flying'], ['tackle', 'normal'], ['body-slam', 'normal'], ['take-down', 'normal'], ['thrash', 'normal'], ['leer', 'normal'], ['bite', 'dark'], ['hyper-beam', 'normal'], ['strength', 'normal'], ['thunder-shock', 'electric'], ['thunderbolt', 'electric'], ['thunder-wave', 'electric'], ['thunder', 'electric'], ['toxic', 'poison'], ['psychic', 'psychic'], ['agility', 'psychic'], ['double-team', 'normal'], ['rest', 'psychic'], ['substitute', 'normal'], ['thief', 'dark'], ['snore', 'normal'], ['protect', 'normal'], ['scary-face', 'normal'], ['sludge-bomb', 'poison'], ['endure', 'normal'], ['swagger', 'normal'], ['spark', 'electric'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['iron-tail', 'steel'], ['hidden-power', 'normal'], ['twister', 'dragon'], ['rain-dance', 'water'], ['sunny-day', 'fire'], ['crunch', 'dark'], ['rock-smash', 'fighting'], ['uproar', 'normal'], ['torment', 'dark'], ['facade', 'normal'], ['charge', 'electric'], ['taunt', 'dark'], ['role-play', 'psychic'], ['superpower', 'fighting'], ['revenge', 'fighting'], ['brick-break', 'fighting'], ['knock-off', 'dark'], ['secret-power', 'normal'], ['astonish', 'ghost'], ['weather-ball', 'normal'], ['extrasensory', 'psychic'], ['bulk-up', 'fighting'], ['shock-wave', 'electric'], ['hammer-arm', 'fighting'], ['u-turn', 'bug'], ['payback', 'dark'], ['assurance', 'dark'], ['embargo', 'dark'], ['fling', 'dark'], ['heal-block', 'psychic'], ['dark-pulse', 'dark'], ['focus-blast', 'fighting'], ['giga-impact', 'normal'], ['nasty-plot', 'dark'], ['zen-headbutt', 'psychic'], ['flash-cannon', 'steel'], ['defog', 'flying'], ['discharge', 'electric'], ['grass-knot', 'grass'], ['charge-beam', 'electric'], ['smack-down', 'rock'], ['sludge-wave', 'poison'], ['electro-ball', 'electric'], ['foul-play', 'dark'], ['round', 'normal'], ['sky-drop', 'flying'], ['incinerate', 'fire'], ['acrobatics', 'flying'], ['volt-switch', 'electric'], ['electroweb', 'electric'], ['wild-charge', 'electric'], ['snarl', 'dark'], ['confide', 'normal'], ['eerie-impulse', 'electric'], ['electric-terrain', 'electric'], ['smart-strike', 'steel'], ['brutal-swing', 'dark'], ['rising-voltage', 'electric'], ['lash-out', 'dark'], ['wildbolt-storm', 'electric'], ['tera-blast', 'normal'], ['supercell-slam', 'electric']]",79,115,70,125,80,111
643,reshiram,dragon,fire,"[['cut', 'normal'], ['fly', 'flying'], ['body-slam', 'normal'], ['take-down', 'normal'], ['double-edge', 'normal'], ['roar', 'normal'], ['flamethrower', 'fire'], ['hyper-beam', 'normal'], ['strength', 'normal'], ['solar-beam', 'grass'], ['dragon-rage', 'dragon'], ['fire-spin', 'fire'], ['toxic', 'poison'], ['psychic', 'psychic'], ['double-team', 'normal'], ['light-screen', 'psychic'], ['reflect', 'psychic'], ['fire-blast', 'fire'], ['swift', 'normal'], ['rest', 'psychic'], ['rock-slide', 'rock'], ['slash', 'normal'], ['substitute', 'normal'], ['snore', 'normal'], ['protect', 'normal'], ['scary-face', 'normal'], ['outrage', 'dragon'], ['endure', 'normal'], ['swagger', 'normal'], ['steel-wing', 'steel'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['safeguard', 'normal'], ['dragon-breath', 'dragon'], ['hidden-power', 'normal'], ['rain-dance', 'water'], ['sunny-day', 'fire'], ['crunch', 'dark'], ['ancient-power', 'rock'], ['shadow-ball', 'ghost'], ['rock-smash', 'fighting'], ['heat-wave', 'fire'], ['will-o-wisp', 'fire'], ['facade', 'normal'], ['helping-hand', 'normal'], ['imprison', 'psychic'], ['secret-power', 'normal'], ['hyper-voice', 'normal'], ['weather-ball', 'normal'], ['overheat', 'fire'], ['rock-tomb', 'rock'], ['extrasensory', 'psychic'], ['dragon-claw', 'dragon'], ['dragon-dance', 'dragon'], ['roost', 'flying'], ['tailwind', 'flying'], ['payback', 'dark'], ['fling', 'dark'], ['flare-blitz', 'fire'], ['dragon-pulse', 'dragon'], ['focus-blast', 'fighting'], ['earth-power', 'ground'], ['giga-impact', 'normal'], ['shadow-claw', 'ghost'], ['fire-fang', 'fire'], ['zen-headbutt', 'psychic'], ['defog', 'flying'], ['draco-meteor', 'dragon'], ['stone-edge', 'rock'], ['hone-claws', 'dark'], ['flame-charge', 'fire'], ['round', 'normal'], ['echoed-voice', 'normal'], ['incinerate', 'fire'], ['dragon-tail', 'dragon'], ['heat-crash', 'fire'], ['blue-flare', 'fire'], ['fusion-flare', 'fire'], ['noble-roar', 'normal'], ['confide', 'normal'], ['mystical-fire', 'fire'], ['laser-focus', 'normal'], ['brutal-swing', 'dark'], ['body-press', 'fighting'], ['breaking-swipe', 'dragon'], ['scale-shot', 'dragon'], ['dual-wingbeat', 'flying'], ['scorching-sands', 'ground'], ['tera-blast', 'normal'], ['dragon-cheer', 'dragon']]",100,120,100,150,120,90
